order_id;order_date;customer_id;city;customer_latitude;customer_longitude;sku;category;qty;unit_price_rp;sales_rp;weight_kg
ORD000000;09/11/2025;CUST22657;Malang;-7.971.039;112.651.262;SKU-A;Powder;12;25000;300000;6.0
ORD000001;21/02/2026;CUST10837;Surabaya;-7.234.315;112.739.353;SKU-C;Snack;13;15000;195000;2.6
ORD000002;01/12/2025;CUST22749;Jakarta;-6.255.628;106.877.953;SKU-D;PersonalCare;30;85000;2550000;45.0
ORD000003;14/04/2026;CUST01545;Bandung;-6.940.037;107.646.744;SKU-B;Beverage;10;55000;550000;12.0
ORD000004;01/02/2026;CUST28429;Tangerang;-6.154.982;10.659.027;SKU-C;Snack;6;15000;90000;1.2
ORD000005;20/03/2026;CUST00603;Kediri;-7.823.622;112.060.066;SKU-D;PersonalCare;19;85000;1615000;28.5
ORD000006;25/11/2025;CUST26919;Surabaya;-729.844;112.706.121;SKU-B;Beverage;19;55000;1045000;22.8
ORD000007;16/12/2025;CUST08946;Bandung;-693.626;107.590.645;SKU-C;Snack;20;15000;300000;4.0
ORD000008;07/12/2025;CUST24006;Solo;-7.569.816;110.837.186;SKU-C;Snack;11;15000;165000;2.2
ORD000009;11/12/2025;CUST11742;Yogyakarta;-7.787.171;110.331.376;SKU-B;Beverage;11;55000;605000;13.2
ORD000010;12/04/2026;CUST08842;Bogor;-6.622.053;106.778.078;SKU-C;Snack;22;15000;330000;4.4
ORD000011;15/12/2025;CUST21794;Depok;-6.426.436;106.817.768;SKU-C;Snack;28;15000;420000;5.6
ORD000012;25/02/2026;CUST07103;Surabaya;-7.260.384;112.772.833;SKU-D;PersonalCare;15;85000;1275000;22.5
ORD000013;03/12/2025;CUST23351;Semarang;-6.928.951;110.451.249;SKU-C;Snack;9;15000;135000;1.8
ORD000014;15/02/2026;CUST06457;Jember;-8.157.694;113.709.558;SKU-D;PersonalCare;13;85000;1105000;19.5
ORD000015;30/04/2026;CUST28429;Tangerang;-6.154.982;10.659.027;SKU-B;Beverage;29;55000;1595000;34.8
ORD000016;20/02/2026;CUST25765;Jakarta;-6.214.489;106.893.269;SKU-D;PersonalCare;12;85000;1020000;18.0
ORD000017;21/11/2025;CUST18657;Semarang;-6.939.565;110.386.918;SKU-D;PersonalCare;23;85000;1955000;34.5
ORD000018;03/01/2026;CUST13763;Malang;-7.952.276;112.649.278;SKU-D;PersonalCare;6;85000;510000;9.0
ORD000019;18/04/2026;CUST21271;Semarang;-7.011.074;110.442.269;SKU-C;Snack;32;15000;480000;6.4
ORD000020;19/04/2026;CUST11157;Bandung;-6.922.765;107.636.134;SKU-A;Powder;30;25000;750000;15.0
